owner_acronym,source_year,total_entries,total_source_scraper,total_source_csv,error_entries,error_source_scraper,error_source_csv,total_non_duplicate_entries,total_duplicate_entries
feddev,,5,0,5,5,0,5,5,0
fin,2004,492,246,246,0,0,0,267,225
fin,2005,732,366,366,0,0,0,365,367
fin,2006,738,369,369,0,0,0,365,373
fin,2007,774,387,387,0,0,0,382,392
fin,2008,538,269,269,0,0,0,267,271
fin,2009,546,273,273,0,0,0,263,283
fin,2010,406,203,203,0,0,0,203,203
fin,2011,438,219,219,0,0,0,219,219
fin,2012,336,168,168,0,0,0,166,170
fin,2013,288,144,144,0,0,0,143,145
fin,2014,330,165,165,0,0,0,165,165
fin,2015,237,117,120,0,0,0,120,117
fin,2016,336,162,174,0,0,0,176,160
fin,2017,162,0,162,0,0,0,161,1
fin,2018,138,0,138,0,0,0,137,1
fin,2019,151,0,151,0,0,0,150,1
fin,2020,91,0,91,0,0,0,90,1
fintrac,2004,80,40,40,0,0,0,40,40
fintrac,2005,122,61,61,0,0,0,61,61
fintrac,2006,162,81,81,0,0,0,81,81
fintrac,2007,258,129,129,0,0,0,127,131
fintrac,2008,126,63,63,0,0,0,63,63
fintrac,2009,130,65,65,0,0,0,65,65
fintrac,2010,147,75,72,0,0,0,75,72
fintrac,2011,177,90,87,0,0,0,90,87
fintrac,2012,142,70,72,0,0,0,70,72
fintrac,2013,50,24,26,0,0,0,24,26
fintrac,2014,37,19,18,0,0,0,18,19
fintrac,2015,37,17,20,0,0,0,17,20
fintrac,2016,34,3,31,0,0,0,31,3
fintrac,2017,36,0,36,0,0,0,36,0
fintrac,2018,55,0,55,0,0,0,55,0
fintrac,2019,38,0,38,0,0,0,38,0
fintrac,2020,22,0,22,0,0,0,22,0
fja,2007,21,21,0,0,0,0,21,0
fja,2008,47,47,0,0,0,0,47,0
fja,2009,68,68,0,0,0,0,68,0
fja,2010,85,85,0,0,0,0,81,4
fja,2011,133,133,0,0,0,0,130,3
fja,2012,118,118,0,0,0,0,110,8
fja,2013,124,124,0,0,0,0,113,11
fja,2014,104,104,0,0,0,0,98,6
fja,2015,96,96,0,0,0,0,91,5
fja,2016,81,61,20,0,0,0,81,0
